algoritmo,cenario,tamanho,repeticoes,tempo_medio_seg,comparacoes_medias,trocas_medias,movimentacoes_medias
Comb Sort,ordenado,100,10,0.000283859996125102,1003,0,0
Merge Sort Natural,ordenado,100,10,6.156000308692456e-05,99,0,200
Comb Sort,inverso,100,10,0.00040594999445602297,1102,122,366
Merge Sort Natural,inverso,100,10,0.0006625099922530353,415,0,888
Comb Sort,aleatorio,100,10,0.0007373999687843025,1290.1,262.4,787.2
Merge Sort Natural,aleatorio,100,10,0.0005209399969317019,601.8,0,784.4
Comb Sort,ordenado,500,10,0.003136069979518652,8372,0,0
Merge Sort Natural,ordenado,500,10,0.00029396999161690474,499,0,1000
Comb Sort,inverso,500,10,0.0030096199945546685,8871,730,2190
Merge Sort Natural,inverso,500,10,0.005413989990483969,2715,0,5492
Comb Sort,aleatorio,500,10,0.00553660998120904,9270.2,1894.1,5682.3
Merge Sort Natural,aleatorio,500,10,0.004360949981492013,4182.2,0,5082.1
Comb Sort,ordenado,1000,10,0.005838729976676405,18713,0,0
Merge Sort Natural,ordenado,1000,10,0.0005380500224418938,999,0,2000
Comb Sort,inverso,1000,10,0.007462639990262687,19712,1582,4746
Merge Sort Natural,inverso,1000,10,0.008139659999869764,5931,0,11984
Comb Sort,aleatorio,1000,10,0.00781528998631984,22309.4,4444.2,13332.6
Merge Sort Natural,aleatorio,1000,10,0.007927059999201447,9231.1,0,10987.7
Comb Sort,ordenado,2000,10,0.015055699984077364,43383,0,0
Merge Sort Natural,ordenado,2000,10,0.00175166999688372,1999,0,4000
Comb Sort,inverso,2000,10,0.01629845998249948,45382,3436,10308
Merge Sort Natural,inverso,2000,10,0.017668869998306035,12863,0,25968
Comb Sort,aleatorio,2000,10,0.029418739990796895,52578.4,9953,29859
Merge Sort Natural,aleatorio,2000,10,0.02422259000595659,20617.3,0,24152
